type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data,label
CSI_DATA,245713,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780065283,0,100,1,128,1,"[100,-64,5,0,-13,15,-10,13,-7,12,-7,14,-5,17,0,18,3,15,2,12,1,11,0,9,-2,9,-3,10,-5,8,-5,5,-7,1,-8,-2,-8,-1,-9,-1,-10,-1,-11,-1,-12,-2,-10,-3,-7,-2,-7,-2,-10,-2,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-10,20,-13,18,-14,16,-15,15,-19,13,-22,10,-19,8,-17,5,-20,2,-24,0,-25,-3,-25,-7,-25,-10,-26,-12,-29,-10,-32,-7,-34,-7,-35,-10,-37,-10,-36,-7,-37,-5,-38,-2,-35,-1,-34,1,-32,4,-31,4]",empty
CSI_DATA,245714,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780058033,0,100,1,128,1,"[100,-64,5,0,20,-10,14,-14,11,-15,9,-16,7,-16,4,-17,2,-15,-1,-9,-2,-9,-1,-10,3,-10,7,-8,7,-6,6,-4,8,-1,9,3,8,4,9,2,10,2,10,5,10,5,10,4,7,4,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,16,-14,15,-13,18,-11,21,-8,23,-5,22,-3,19,-4,18,-2,19,3,20,6,21,9,20,13,20,14,23,18,23,22,21,21,23,20,26,19,26,19,27,18,30,17,32,16,30,13,31,8,31,4,28,5]",empty
CSI_DATA,245715,2c:30:33:d3:61:c3,-84,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780051319,0,100,1,128,1,"[100,-64,5,0,-11,21,-10,19,-7,16,-5,13,-3,13,1,15,5,14,6,12,6,11,4,10,0,8,-4,7,-4,7,-5,7,-7,5,-10,2,-12,0,-12,1,-12,2,-14,1,-14,-1,-13,-1,-11,-1,-9,-3,-8,-5,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,6,-7,25,-9,21,-12,18,-15,15,-15,14,-15,15,-16,12,-17,7,-19,4,-22,3,-24,2,-25,1,-27,-1,-30,-3,-32,-2,-31,-1,-32,-2,-36,-3,-39,0,-38,3,-37,5,-37,7,-38,8,-35,8,-30,10,-28,11]",empty
CSI_DATA,245716,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780044282,0,100,1,128,1,"[100,-64,5,0,-18,-14,-21,-7,-21,-4,-18,-1,-13,1,-14,2,-14,5,-9,7,-7,5,-7,2,-7,0,-7,-1,-6,-2,-6,-3,-8,-5,-9,-9,-7,-13,-3,-13,1,-13,2,-14,1,-12,1,-12,0,-11,2,-8,3,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-1,-28,-4,-27,-6,-26,-9,-26,-12,-23,-13,-20,-12,-17,-14,-13,-17,-12,-17,-11,-20,-7,-24,-4,-25,-4,-25,-3,-27,-1,-29,1,-30,2,-34,2,-36,0,-34,-4,-32,-7,-34,-9,-36,-8,-37,-7,-33,-10,-29,-13,-26]",empty
CSI_DATA,245717,2c:30:33:d3:61:c3,-86,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780036972,0,100,1,128,1,"[100,-64,5,0,-23,-1,-19,3,-16,7,-13,9,-12,9,-10,9,-6,9,-4,12,-3,15,-6,12,-8,5,-6,1,-6,1,-7,1,-8,-2,-10,-4,-9,-6,-9,-8,-10,-9,-10,-10,-9,-8,-9,-7,-9,-6,-8,-6,-6,-6,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-22,4,-24,3,-26,2,-26,-2,-24,-6,-23,-8,-22,-10,-20,-13,-18,-14,-16,-15,-15,-19,-13,-21,-10,-22,-12,-24,-16,-28,-17,-30,-16,-31,-17,-31,-19,-31,-21,-30,-23,-29,-26,-26,-26,-21,-25,-19,-26,-20,-28,-21]",empty
CSI_DATA,245718,2c:30:33:d3:61:c3,-84,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780029516,0,100,1,128,1,"[100,-64,5,0,17,14,16,11,17,3,18,-1,16,1,13,0,10,-3,10,-6,10,-7,10,-3,9,-1,8,-2,8,-1,7,3,4,8,2,8,1,5,1,5,0,6,-1,9,-4,10,-5,8,-2,7,-1,8,-2,8,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,24,8,21,7,19,7,16,9,13,13,12,17,10,20,7,20,5,21,2,22,0,24,-2,26,-3,28,-3,29,-5,32,-6,34,-5,36,-2,38,3,39,5,38,4,37,6,34,9,32,10,31,11,30,13,29]",empty
CSI_DATA,245719,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780023068,0,100,1,128,1,"[100,-64,5,0,15,16,14,10,15,5,18,2,18,-2,16,-6,13,-5,9,-5,7,-8,5,-6,6,-5,7,-5,6,-2,4,2,5,5,4,7,3,8,2,8,2,9,2,9,3,9,1,10,0,11,2,9,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,23,10,21,14,18,17,14,17,11,18,10,18,11,18,10,19,7,22,3,23,0,21,-2,22,-4,27,-7,28,-9,27,-9,27,-8,28,-8,30,-7,32,-4,31,-3,32,0,34,5,33,7,29,7,28,5,28]",empty
CSI_DATA,245720,2c:30:33:d3:61:c3,-86,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780016612,0,100,1,128,1,"[100,-64,5,0,-10,22,-6,17,0,15,5,14,8,13,8,13,8,10,8,6,8,4,8,5,4,5,3,7,1,7,-1,5,-3,7,-6,8,-8,8,-7,6,-9,6,-14,8,-14,7,-11,4,-10,3,-10,3,-11,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,24,4,25,0,25,-2,23,-3,20,-5,19,-6,17,-10,16,-14,18,-15,19,-17,15,-23,10,-28,9,-29,9,-29,9,-26,7,-25,7,-29,8,-31,11,-29,13,-26,16,-24,20,-27,22,-27,24,-22,24,-18,22]",empty
CSI_DATA,245721,2c:30:33:d3:61:c3,-84,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1780003118,0,100,1,128,1,"[100,-64,5,0,-15,-19,-14,-16,-16,-10,-18,-5,-17,-4,-15,-5,-14,-1,-14,2,-16,3,-15,3,-10,1,-7,0,-4,-2,-2,-5,-3,-5,-1,-6,0,-9,-1,-10,1,-8,6,-8,8,-7,6,-6,5,-6,6,-5,5,-4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-21,-3,-19,-5,-17,-9,-16,-12,-14,-14,-12,-15,-10,-17,-8,-21,-5,-23,-3,-24,-2,-23,1,-22,2,-22,3,-23,3,-27,4,-31,6,-33,8,-35,5,-38,2,-39,0,-39,0,-38,-1,-34,-4,-30,-6,-28,-7,-29]",empty
CSI_DATA,245722,2c:30:33:d3:61:c3,-84,11,1,0,0,1,1,0,1,0,0,-97,0,11,0,-1779995220,0,100,1,128,1,"[100,-64,5,0,2,-23,-2,-24,-5,-21,-6,-18,-7,-16,-8,-13,-10,-9,-10,-8,-8,-6,-7,-3,-9,-3,-6,-5,0,-5,3,-4,5,-5,7,-7,8,-6,7,-4,6,-4,6,-6,7,-7,9,-3,9,0,7,-1,5,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-15,-17,-14,-17,-12,-19,-9,-21,-5,-21,-1,-21,3,-19,6,-17,10,-18,11,-21,14,-24,18,-23,19,-20,22,-18,24,-18,24,-20,24,-23,24,-24,25,-24,25,-25,25,-27,24,-30,18,-30,16,-28,16,-26,13,-25]",empty
